,subject_doc_id,visitor_uuid,also_like_doc
14882,131205001613-007ba905a01ca4ad8e9fd19b3d8040d8,67984522772c6f9b,111128223618-7920d08381a64a46bbdd1f9649cd3e2d
14883,131205001613-007ba905a01ca4ad8e9fd19b3d8040d8,67984522772c6f9b,130426021527-9d1b42b55b1446ee88cd53b3ce41f66e
14884,131205005521-e8fbfe1e95abdd8008e69abf270efbd5,fbf6a93760811f71,130127222108-e40a1e2582384589b353781a463ff545
14885,131205005521-e8fbfe1e95abdd8008e69abf270efbd5,fbf6a93760811f71,140303152427-1cc13739a205d4a3521593e0b8d8013d
14886,131205015821-cfbd623e0bb738035dce83a91972f590,51e28dba8d6baa61,120924094506-35496caac3ef4351b25368bd1ce9f37c
14887,131205015821-cfbd623e0bb738035dce83a91972f590,51e28dba8d6baa61,120929161134-733bc30ba3444f23950216087bddace4
14888,131205015821-cfbd623e0bb738035dce83a91972f590,51e28dba8d6baa61,121126080250-86347054c9b044ed911acaa5b5c13a73
14889,131205015821-cfbd623e0bb738035dce83a91972f590,51e28dba8d6baa61,130905221330-6f29097cc4e8f578735a5eb1330149d7
14890,131205015821-cfbd623e0bb738035dce83a91972f590,51e28dba8d6baa61,131108034048-1d956e284512f0d5a40e73f5108bd089
14891,131205015821-cfbd623e0bb738035dce83a91972f590,51e28dba8d6baa61,131127001057-bbc230b81e62a505e565af6d95bde423
14892,131205081317-9cc1448d06633fb5dc3cba43cb0986cb,07ef702ed0c1924c,140129232618-b0a688f139afdfcafbbf363075ff1698
14893,131205081317-9cc1448d06633fb5dc3cba43cb0986cb,07ef702ed0c1924c,140131054813-7a220b2d331f4f558945f8da74f5b22c
14894,131205081317-9cc1448d06633fb5dc3cba43cb0986cb,07ef702ed0c1924c,140131155529-bde6afd50c53455dd900851b0d00cb1f
14895,131205081317-9cc1448d06633fb5dc3cba43cb0986cb,07ef702ed0c1924c,140201084551-cf2d86a83ad8955d5d32c0b31e906ea1
14896,131205081317-9cc1448d06633fb5dc3cba43cb0986cb,07ef702ed0c1924c,140305002332-2e4afaf6caae29e9122dab7543e5bbd5
14897,131205123919-619012dc62f0b48871a795fe3d955355,925a7ab0c7bdae56,140218134319-f82a4223fa3effecfb5dd857fb590099
14898,131205161806-992a06d53995e6f3d1b86d472dac99ed,f0f47e4775bde75f,131216224527-ae475e10a563ee111d213631c639c83c
14899,131205190112-e8c4b5ae9263516c33e054cb0ed5f390,f3811effdf05d100,131121175037-78c89cf09ada64117af12bffd01e845a
14900,131205190112-e8c4b5ae9263516c33e054cb0ed5f390,f3811effdf05d100,131219224902-244091ee28374299f5ce1d859b61c5f2
14901,131205194818-f4770b9669e4c75ddb0cf2d3f7b29381,3a86c07c1c78892b,140313175715-493699d2a9b7598f62891cdb131c4305
14902,131205201342-c8d05b99c572a964d375c1a43bd67f8d,d6964fde65058f6d,130117181905-0000000079fcf0f01d0559e4e7bc6663
14903,131205201342-c8d05b99c572a964d375c1a43bd67f8d,d6964fde65058f6d,131206120434-c7b61043b0ad344d4ed86323e3731c22
14904,131205210237-f50e9ccd4bf670f8ccf66c7f3b1a4a23,914d0578f20da7a7,130120041622-00000000aaf592f96a0905f5d5155b48
14905,131205210237-f50e9ccd4bf670f8ccf66c7f3b1a4a23,914d0578f20da7a7,130225134552-d42f083c7bca45fc88a8f85831c6be43
14906,131205210237-f50e9ccd4bf670f8ccf66c7f3b1a4a23,914d0578f20da7a7,130426131449-b619efc1d9634b04aa2512e40e4056ad
14907,131205210237-f50e9ccd4bf670f8ccf66c7f3b1a4a23,914d0578f20da7a7,130507212748-2e0098f1e88741f09224d196c0fca9c2
14908,131205210237-f50e9ccd4bf670f8ccf66c7f3b1a4a23,914d0578f20da7a7,130808123640-5e422f5a41740097a4374e2526356d16
14909,131205210237-f50e9ccd4bf670f8ccf66c7f3b1a4a23,914d0578f20da7a7,140114141656-5b06a1928fb8dbc6b436ca3ffde90f39
14910,131206120004-91f71725234283f363ddbe37240dddcd,9d8a2028adb013d1,140226161840-000000009785666337a918e652dbc848
14911,131206120004-91f71725234283f363ddbe37240dddcd,9d8a2028adb013d1,140304175541-dd1cdc4591564a12c6dcd72e90e4eb7f
14912,131206120004-91f71725234283f363ddbe37240dddcd,9d8a2028adb013d1,140307082410-3582865ba842b7039f5edc6737149a38
14913,131206120434-c7b61043b0ad344d4ed86323e3731c22,d6964fde65058f6d,130117181905-0000000079fcf0f01d0559e4e7bc6663
14914,131206120434-c7b61043b0ad344d4ed86323e3731c22,d6964fde65058f6d,131205201342-c8d05b99c572a964d375c1a43bd67f8d
14915,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,120316032022-000000000669dc1822a772ae23afcee6
14916,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,120331022631-48371af1deec45b2a3277d7307461c1b
14917,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,120617131200-430d065844df45039fdcdc1aa82c879a
14918,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,120712202848-000000005a4b8edb1202f41d9ebcbda1
14919,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,120715151217-0000000073dcf786ded332989fa5c0af
14920,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,121026221321-00000000278e9ddbdf295f0577f672b0
14921,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,121026223629-000000003164d6b9336631e91d3703f0
14922,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,121105154628-8d06a90d1f4840539687faa012b7517a
14923,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,130706015649-b6f1aabaa64748d4c7d62a3b7fcf846d
14924,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,130915194328-c2d329ee2d5b9e32ee199c69eab3815c
